Gender,breakfast,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,marital_status,mother_profession,parents_cook,pay_meal_out,soup,sports,type_sports,veggies_day,vitamins,weight
Male,Donut,it is not at all important,420,creamy frapuccino,Pizza cookies steak ,Boredom comfort hunger ,boredom,A couple of times a week ,American,Meat carbs and candy ,unhealthy/cheap/too much/random/,Soda,Expansion of eating variety ,better,more variety,1-2 times ,yes part time ,Twice or three times per week ,Dairy Farmer ,American ,American,store bought ,Mcdonald’s fries,neutral ,Senior,4,Meat and potatoes ,Meat carbs and candy ,more protein,"$30,001 to $50,000 ",very unlikely ,likely ,In a relationship ,Programs coordinator ,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,Basketball ,unlikely ,no,200
Female,Cereal,it is moderately important ,420,espresso shown,"chocolate, fruit, and ice cream","stress, boredom",stress,A couple of times a week ,American,"At school its hard but usually a granola bar and fruit for breakfast, a wrap for dinner or lunch, and then veggies and hummus.",the same thing over and over,Orange Juice,not going to Egan every meal maybe once a day,worse,bigger quantity,1-2 times ,yes part time ,Everyday,self employed,Japanese,asian/chineses/thai/nepal,cooked at home ,home fries,very likely ,Sophomore ,8,"good portions of fruit, protein, veggies and carbs",To eat moderations of every food group each day and no processed food,balance,"$70,001 to $100,000 ",neutral,likely ,In a relationship ,self employed,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,competitive skiing,likely,yes,135
Male,Cereal,it is moderately important ,420,espresso shown,Chips sweets popcorn,Boredom,boredom,"Never, I really do not know my way around a kitchen",American,No diet. I eat what makes me feel good,unhealthy/cheap/too much/random/,Soda,More coffee less water ,worse,drink coffee ,Never,no,Everyday,Contract negotiations,Chinese,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,freshman ,1,All food groups,Whatever makes me feel good. Doesnt cost a fortune. ,unclear,"higher than $100,000",likely,very likely ,Single,none,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,"Rowing, Running, and Cycling",likely,no,145
Female,Cereal,it is not at all important,420,espresso shown,"Cookies, burgers, chicken noodle soup, ice cream","happiness, hunger, sadness",happiness,"Whenever I can, but that is not very often  ",American,If there is berries I will eat them.  Eat any kind of pasta.  Hate cooked vegetables,unhealthy/cheap/too much/random/,Soda,Less fruits and veggies,worse,worse quality ,2-3 times ,yes part time ,Twice or three times per week ,Police Officer ,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,neutral ,freshman ,4,"All of the food groups(carbs, veggies, fruits,etc)",More fruits and Veggies.  Less carbs,adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",neutral,very likely ,Single,Legal Secretary,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,nan,unlikely ,yes,130
Female,Donut,it is moderately important ,420,creamy frapuccino,"cake, French fries, chicken nuggets","boredom, sadness",boredom,"Whenever I can, but that is not very often  ",American,"I eat fruits, dairy and carbs ",unhealthy/cheap/too much/random/,Soda,convenience food ,worse,worse quality ,2-3 times ,no,Everyday,IT,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,Senior,2,all elements of food pyramid,a colorful diet,balance,"$50,001 to $70,000 ",likely,very likely ,In a relationship ,secretary ,1-2 times a week ,$30.01 to $40.00 ,creamy soup,Yes,softball and basketball,unlikely ,no,190
Female,Cereal,nan,315,espresso shown,"pizza, ice cream, cookies",boredom,boredom,nan,American,I eat two-tree meals per day. Always eat a breakfast. ,unclear,Soda,Food is not as healthy. ,worse,worse quality ,every day,no,Everyday,Works for Kirila Fire,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Junior,8,lots of colors,A good breakfast. A healthy lunch and dinner.,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",neutral,very likely ,Single,works in Loans department in First National Bank,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,wrestling,neutral ,no,170
Female,Cereal,it is moderately important ,420,espresso shown,"Mashed potatoes, pasta","Boredom, sadness, or with friends ",boredom,A couple of times a week ,American,I eat healthy as well as unhealthy. I try to keep a balanced diet but often eat junk food with friends.,unhealthy/cheap/too much/random/,Orange Juice,Eating at Egan or the laker has definitely made me gain weight because every time I go home and eat I lose weight. ,worse,bigger quantity,1-2 times ,nan,nan,Realtor,Any type of Colombian cuisine,Spanish/mexican,cooked at home ,Mcdonald’s fries,likely ,freshman ,4,Has fruits vegetables and or some type of meat ,Delicious but also very healthy for you. Low in carbs but does not delete carbs all together.,home cooked/organic,"less than $15,000 ",very likely ,very likely ,nan,Janitor,2-3 times a week ,$5.01 to $10.00 ,veggie soup,Yes,Marching Band,likely,no,127
Female,Cereal,it is moderately important ,420,espresso shown,"Pasta dishes, Cheesecake, Pancakes","Sadness, Loneliness, Boredom",depression/sadness,Every day ,American,I eat a paleo based diet high in protein and low in fat. I stay away from processed foods as much as I can.,healthy/balanced/moderated/,Soda,"Huge changes have occurred. I eat far healthier, less processed  food, less dense carbohydrates and way more vegetables and fruits.",better,healthier,1-2 times ,no,Everyday,Solar Engineering ,Mexican cuisine,Spanish/mexican,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Sophomore ,9,Mostly vegetables and plenty of lean protein and healthy fats to keep you full,Staying away from processed foods completely and incorporating more plant proteins opposed to meat proteins would be ideals.,home cooked/organic,"$70,001 to $100,000 ",very likely ,very likely ,In a relationship ,Yoga Instructor ,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,Collegiate Water Polo,very likely,yes,167
Female,Cereal,it is moderately important ,315,espresso shown,"Ice cream, pizza, cookies",Mostly Stress,stress,"Whenever I can, but that is not very often  ",American,I try to eat something light for breakfast like cereal or an apple. For lunch I eat sandwiches or pasta also something somewhat light and I eat however much I'm hungry for at dinner. Sometimes I try to be healthy with a salad or something and then I get dessert ,the same thing over and over,Soda,I eat way too often and way too much x,worse,bigger quantity,2-3 times ,yes part time ,Once a week,Lawyer,Asian,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,7,"Lots of Greens, meat and water","Healthy smoothies for breakfast, healthy sandwich for lunch. For dinner, something wholesome and also healthy. Then a light dessert.",home cooked/organic,"higher than $100,000",unlikely,very likely ,In a relationship ,Nurse,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,None right now,likely,yes,140
Female,Cereal,it is moderately important ,420,espresso shown,"Chinese food, moes, sponge candy, homemade lasagne ","boredom, sadness ",boredom,A couple of times a week ,American,Eat fruits and vegetables daily and with almost every meal. Diet mostly consists of meat as well. ,healthy/balanced/moderated/,Soda,Less snacking ,better,healthier,Never,no,Twice or three times per week ,Service Technition,Chinese food,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,3,Small portion of meat with majority fruits or vegetables ,More organic food. Want to try and add more seafood into my diet.  ,home cooked/organic,"higher than $100,000",likely,very likely ,Single,Sales Manager at Business First,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,"volleyball, lacrosse",likely,yes,190
Male,Cereal,it is moderately important ,420,creamy frapuccino,"pizza, pasta, mac and cheese",when i am sad or craving,depression/sadness,I only help a little during holidays ,American,I try to eat healthy but sometimes drink soda pop and I enjoy desserts. harder to eat healthy when I am at school. ,unhealthy/cheap/too much/random/,Soda,"less healthy because of less options, money and time.",worse,worse quality ,1-2 times ,yes part time ,Everyday,engineer ,mac and cheese,American,store bought ,Mcdonald’s fries,likely ,Sophomore ,5,lots of variety and veggies,Eating healthy with lots of water and natural foods. ,adding veggies/eating healthier food/adding fruit,"higher than $100,000",very unlikely ,very likely ,Single,principal ,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,field hockey,likely,yes,155
Male,Donut,it is very important,980,espresso shown,"Little Debbie snacks, donuts, pizza",None,none,nan,American,High protein and high carbs with fruits and vegetables as needed,unhealthy/cheap/too much/random/,Soda,Willingly eating vegetables ,better,healthier,Never,yes part time ,Everyday,handyman,Mexican,Spanish/mexican,cooked at home ,Mcdonald’s fries,likely ,Junior,7,"High protein, high carbs , vegetables ",Same as current diet ,current diet,"$15,001 to $30,000 ",very likely ,very likely ,Single,home cleaner,Almost everyday ,$20.01 to $30.00 ,veggie soup,No,nan,likely,yes,175
Female,Cereal,it is moderately important ,420,espresso shown,"carrots, plantain chips, almonds, popcorn ","stress, boredom, college as whole ",stress,"Whenever I can, but that is not very often  ",nan,"i currently eat a lot of salad, but do not eat 3 times a day nor eat breakfast ",unhealthy/cheap/too much/random/,Orange Juice,I have been eating healthier especially vegetables and proteinous food ,better,healthier,1-2 times ,yes part time ,Everyday,cross-guard ,Authentic Chinese and Vietnamese food ,asian/chineses/thai/nepal,cooked at home ,home fries,very likely ,Junior,7,"Healthy meal for me is a food rich in protein, fiber, some sort of carbohydrates",it would be a vegetarian diet without any red meat ,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",very likely ,very likely ,Single,A teacher ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,none ,very likely,yes,129
Male,Cereal,it is very important,420,espresso shown,"chips, ice cream, fruit snacks",boredom,boredom,I only help a little during holidays ,nan,I used to eat whatever but since i've come to college i try to eat fruits and vegetables everyday. I also avoid fried foods.,healthy/balanced/moderated/,Soda,i eat healthier all around,better,healthier,1-2 times ,no,Everyday,Project manager,italian and chinese,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,7,"half a plate of protein, quarter of a plate of carbs and the other quarter fruits or veggies.","My ideal diet would be no processed food or fried food. Also, very low in excess carbs and high in protein.",less sugar,"higher than $100,000",neutral,very likely ,Single,Secretary ,Almost everyday ,$20.01 to $30.00 ,creamy soup,Yes,Fotball,likely,yes,260
Female,Donut,it is not at all important,420,espresso shown,"Macaroni and cheese, chicken noodle soup, pizza",Boredom and stress,boredom,A couple of times a week ,American,I eat very basic foods like pizza and pasta. I don't try many new things. ,unhealthy/cheap/too much/random/,Soda,"Home cooked meals and a lot more difficult to have at college. It's typically quick, on the go foods. ",worse,worse quality ,2-3 times ,yes part time ,Twice or three times per week ,Teacher,American,American,both bought at store and cooked at home,Mcdonald’s fries,unlikely ,Junior,5,Very colorful and smaller portions of the unhealthy food with larger portions of vegetables ,Ideally I would eat more fruits and vegetables in my diet along with some junk food. ,adding veggies/eating healthier food/adding fruit,"higher than $100,000",very unlikely ,likely ,In a relationship ,Teacher,1-2 times a week ,$10.01 to $20.00 ,veggie soup,No,crew,very unlikely ,no,135
Male,Donut,nan,420,espresso shown,"Chocolate, Chips, Ice cream, French Fires, Pizza","Stress, sadness, boredom",stress,A couple of times a week ,American,My diet consists of high levels of meats with some vegetables. Coexisting with varying levels of sugars ,unhealthy/cheap/too much/random/,Soda,I have increased the amounts of vegetables I eat due to the unhealthy options in our dining halls,better,healthier,every day,yes part time ,Once a week,Truck Driver,Barbecue ,American,cooked at home ,Mcdonald’s fries,very unlikely ,Junior,8,Chicken Salad with Pita Chips,A balance between meats and vegetables with less sugar,balance,"$30,001 to $50,000 ",very unlikely ,very likely ,In a relationship ,Customer Service Representative ,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,"Football, Basketball, Volleyball, Golf",likely,no,190
Male,Cereal,nan,420,espresso shown,"Mac and cheese, lasagna, Chinese food ","Boredom, sadness",boredom,I only help a little during holidays ,American,Very poor. Heavy carb consumption. ,unhealthy/cheap/too much/random/,Soda,I eat alot of carbs and eat much more frequently,worse,bigger quantity,1-2 times ,no,Once a week,Senior Manager,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,freshman ,6,"Fruits, vegetables, meat ","Alot of fruits and veggies. Meat and bread. Water, because hydration is important kids",adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",very likely ,very likely ,Single,Stay at home mother,Almost everyday ,$20.01 to $30.00 ,veggie soup,No,nan,very likely,no,165
Male,Cereal,it is moderately important ,420,espresso shown,"candy, Chinese, mcdonalds",laziness and hungover,laziness,A couple of times a week ,nan,Complete diet. protein vegetables and carbs,healthy/balanced/moderated/,Soda,I eat whatever is offered at egan or at the laker,worse,worse quality ,1-2 times ,nan,Everyday,information systems architect,lebanese or greek,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Senior,7,steak or salmon with broccoli or asparagus and brown rice or quinoa,High protein with lots of vegetables and fruit,more protein,"higher than $100,000",very likely ,very likely ,In a relationship ,teacher,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,"hockey, soccer, golf",very likely,yes,175
Male,Cereal,nan,420,espresso shown,"Doritos, mac and cheese, ice cream","Boredom, hunger, snacking.",boredom,"Whenever I can, but that is not very often  ",American,"I eat usually 2 times a day, either breakfast and dinner or lunch and dinner.  I feel that is enough for me.",unhealthy/cheap/too much/random/,Soda,Food is readily available so I don't have to cook so it's easier to eat a lot.,worse,bigger quantity,1-2 times ,no,Everyday,Supervisor,American,American,both bought at store and cooked at home,Mcdonald’s fries,likely ,Junior,10,a balance of Meat and vegetables,I like the diet I have now.  I could eat 3 times a day but I feel healthy as is.,current diet,"$70,001 to $100,000 ",neutral,very likely ,In a relationship ,Treasurer,Almost everyday ,$10.01 to $20.00 ,creamy soup,Yes,Wrestling,likely,no,184
Male,Cereal,it is moderately important ,420,espresso shown,"Ice cream, cake, pop, pizza, and milkshakes.","Happiness, sadness, celebration.",happiness,A couple of times a week ,Mexican/Spanish,Currently whatever Egan has at the moment.,unhealthy/cheap/too much/random/,Soda,I've eaten more fruits and vegetables. Started eating seafood.,better,healthier,1-2 times ,yes part time ,Twice or three times per week ,Delivery Man For Fritolay,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,neutral ,freshman ,2,Modest proportions of many different food groups.,"Variety of fruits, vegetables, and meats in healthy proportion.",adding veggies/eating healthier food/adding fruit,"higher than $100,000",neutral,very likely ,Single,Special Ed Teacher,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,Soccer,unlikely ,yes,210
Female,Cereal,it is moderately important ,420,espresso shown,"Mac and Cheese, Pizza, Ice Cream and French Fries ","Boredom, anger and just being hungry in general.",boredom,"Whenever I can, but that is not very often  ",American,I try to maintain a healthy diet. I always try to eat foods that are beneficial to my health and that will impact me in the long run.,healthy/balanced/moderated/,Soda,Coming to college I definitely have tried to change my eating habits in order to maintain my weight and be more healthy. ,better,healthier,1-2 times ,yes part time ,Everyday,nan,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,Sophomore ,1,It combines a protein with other elements of the diet such as vegetables and other items that support the body.,"I want to aim to eat foods that are healthy and nutritious. Since I workout a lot, I want to eat foods that will replenish the nutrients my body needs in order to function. ",adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",unlikely,very likely ,Single,Accountant ,Almost everyday ,$30.01 to $40.00 ,veggie soup,Yes,Running ,very likely,no,155
Male,Cereal,it is moderately important ,315,creamy frapuccino,"Soup, pasta, cake","Depression, comfort, accessibility ",depression/sadness,I only help a little during holidays ,other,Somewhat unhealthy. This is due to my hectic work and school schedule.,unhealthy/cheap/too much/random/,Soda,When I was on campus (which I am not anymore) I ate way more fruits and vegetables since I had easy access to them.,better,healthier,every day,no,Twice or three times per week ,Business Owner,Italian,Italian/French/greek,nan,Mcdonald’s fries,very likely ,Senior,8,"Well balanced with protein, fruits, vegetables, starch, etc.",My ideal diet would be one that is well balanced. It would include lots of fruits and vegetables.,balance,"higher than $100,000",very likely ,very likely ,In a relationship ,Homemaker,1-2 times a week ,more than $40.01 ,veggie soup,Yes,Tennis,likely,yes,185
Female,Cereal,it is very important,420,creamy frapuccino,"mac & cheese, frosted brownies, chicken nuggs","they are yummy, my boyfriend sometimes makes me sad, boredom",depression/sadness,I only help a little during holidays ,Mexican/Spanish,"i drink alot of lemon water, and milk. i also eat ice cream frequently after dinner. but i also eat lots of fruits and veggies",unhealthy/cheap/too much/random/,Orange Juice,eat more salads,better,healthier,2-3 times ,yes part time ,nan,business owner,italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,3,"lean meat, fresh fruits & veggies",ideal diet would be less sweets and carbohydrates. ,less sugar,"$50,001 to $70,000 ",very unlikely ,very likely ,In a relationship ,certified accountant,Almost everyday ,$10.01 to $20.00 ,veggie soup,Yes,softball,very likely,yes,165
Female,Cereal,it is moderately important ,nan,espresso shown,"watermelon, grapes, ice cream","Sad, bored, excited",depression/sadness,"Whenever I can, but that is not very often  ",American,I typically eat very healthy. i consume fruits and vegetables in about every meal. ,healthy/balanced/moderated/,Orange Juice,I consume a lot more grapefuit since I've come to college. The meals here are also more greasy than I am used to. ,worse,worse quality ,1-2 times ,yes part time ,Twice or three times per week ,Beacon Light ,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,very likely ,freshman ,2,"water, fruits, vegetables, protein, carbs","Although I don't eat junk food very often, i would love not to have those days where I eat a lot. ",less sugar,"$15,001 to $30,000 ",very likely ,very likely ,In a relationship ,nothing ,Almost everyday ,$5.01 to $10.00 ,veggie soup,Yes,"Volleyball, Track",very likely,no,125
Female,Cereal,nan,420,espresso shown,"macaroni and cheese, stuffed peppers, hamburgers, french fries","boredom, stress, mood swings",boredom,"Whenever I can, but that is not very often  ",American,At this time it is very touch and go. Some days I live on sandwiches and ice cream while other days I eat lots of fruits and vegetables. ,unhealthy/cheap/too much/random/,Soda,I eat a lot more carbs than I did when I lived at home.,worse,more carbs or snacking,1-2 times ,yes part time ,Once a week,salesman,sushi,asian/chineses/thai/nepal,both bought at store and cooked at home,Mcdonald’s fries,very likely ,freshman ,3,More vegetables and fruits as opposed to meat and bread/potatoes,"If at all possible, I would like to be able to eat a lot healthier. I would like to eat more fruits and vegetables with the hope of eventually going vegetarian.",adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",likely,very likely ,Single,social worker,Almost everyday ,$5.01 to $10.00 ,veggie soup,No,nan,very likely,no,160
Female,Cereal,it is very important,420,espresso shown,"Pizza, mashed potatoes, spaghetti","Anger, sadness",depression/sadness,A couple of times a week ,American,"A very healthy diet. Avoiding junk foods, and any white breads. ",healthy/balanced/moderated/,Soda,"Avoiding ""easy options"" such as junk foods ",better,healthier,2-3 times ,no,Everyday,Mechanical Engineer,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Sophomore ,7,"A protein, veggies, and a carb","A very healthy diet, with the occasional splurging on junk foods. ",balance,nan,very unlikely ,very likely ,Single,Secretary,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,nan,very likely,yes,135
Female,Cereal,it is moderately important ,420,espresso shown,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese","Anxiousness, watching TV I desire ""comfort food"" ",watching tv,A couple of times a week ,American,I have been eating mainly proteins and some fruits and vegetables every day with some less healthy snack foods.  ,healthy/balanced/moderated/,Orange Juice,"Coming to college I have ate less well colored meals each day due to lack of income and desire to save money. I used to eat more fruits and vegetables, more chicken and salmon, now these habits have lightened up and are not as frequent and regular in the week. I have also started eating more bread and dairy products.",worse,worse quality ,1-2 times ,yes part time ,Twice or three times per week ,GE Salesman,Indian food,indian,cooked at home ,Mcdonald’s fries,very likely ,Junior,4,"Salmon, sweet potato, and larger portion, but equally spread of broccoli, squash, zucchini, carrots, and tomatoes.","I would like my diet to fulfill all the colors of the rainbow, with mainly fruits and vegetables as the primary source of intake, and about one fourth intake of proteins, and little to no snacks per day.  ",adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",very likely ,very likely ,Single,Respiratory Therapist,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,"When I can, rarely though play pool, darts, and basketball.",very likely,yes,130
Female,Cereal,it is moderately important ,420,espresso shown,"Chips, chocolate, ,mozzarella sticks ","Boredom, sadness, anxiety",boredom,I only help a little during holidays ,American,"High in carbs, but I have recently tried to cut down on fats, salt, and sugars. I choose more organic options as well as more fruits and vegetables. ",unhealthy/cheap/too much/random/,Soda,I've definitely gotten used to eating more often since I have a fully cooked meal available to me at all the time.  Sometimes I would only eat one full meal and a snack in high school because I was so busy and did not have the time to cook. ,worse,bigger quantity,1-2 times ,yes part time ,nan,Business Owner,Italian ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,likely ,freshman ,9,"Vegetables, white meat, and a starch like potatoes, water, and fruit for dessert ","A low car, low fat diet with no red meat and lots of plant-based things. I would like to cut red meat out entirely and also cut down on processed snack foods. ",adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",neutral,very likely ,Single,Substitute Secretary,2-3 times a week ,$20.01 to $30.00 ,creamy soup,No,None at the moment,very likely,yes,230
Female,Cereal,it is moderately important ,420,espresso shown,"ice cream, chips, candy","Boredom, laziness, anger",boredom,"Whenever I can, but that is not very often  ",American,"Since I am a college student I rarely cook full meals with protein, vegetables and starch. I usually just heat up leftovers from a restaurant or go eat casual food at the dining hall.",unhealthy/cheap/too much/random/,Soda,I do not eat full meals. Rarely eat 3 meals a day. ,worse,timing,2-3 times ,nan,Twice or three times per week ,Ford Plant employee,Italian,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,neutral ,Senior,2,"I think a healthy meals includes some kind of protein, preferably meat, vegetables, and a starch such as potatoes or rice","My ideal diet right now would be how it was when I lived at home. I ate breakfast every morning, brought a lunch to school, and had a home cooked meal by my mom that included meat, vegetables and a starch. ",home cooked/organic,"$50,001 to $70,000 ",neutral,very likely ,In a relationship ,Insurance Coordinator,Almost everyday ,$30.01 to $40.00 ,creamy soup,Yes,volleyball,unlikely ,no,125
Female,Cereal,it is moderately important ,315,espresso shown,"Pizza, soda, chocolate brownie, chicken tikka masala and butter naan ",Stress and sadness,,A couple of times a week ,nan,"It is pretty balanced with a diverse mixture of proteins, carbohydrates, vitamins and minerals. Fruits and chicken dominate my diet. ",healthy/balanced/moderated/,Orange Juice,"I have been drinking more water. Since college, I've been more conscious about my diet and incorporated more fruits on my diet. ",better,drink more water,every day,nan,Twice or three times per week ,Clinical Researcher,Nepali,asian/chineses/thai/nepal,cooked at home ,Mcdonald’s fries,very likely ,freshman ,7,A healthy meal constitutes of balanced diet with fruits and veggies dominating the plate. ,My ideal diet would getting to eat small portioned meals in every 2-3 hours. ,portion control,"less than $15,000 ",very likely ,very likely ,Single,Supervisor,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,None,very likely,no,130
Female,Cereal,it is moderately important ,420,creamy frapuccino,"Chocolate, Pasta, Cookies","I am always stressed out, and bored when I am in my apartment. ",,A couple of times a week ,American,I try to eat a balanced meal. I refrain from anything too fatty. ,healthy/balanced/moderated/,Orange Juice,My diet could improve now. I have been eating more than I should.,worse,bigger quantity,1-2 times ,yes part time ,Everyday,Retired ,I really love italian food and thai food,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,likely ,Sophomore ,5,To me a healthy meal is balanced and ,I would like to try to eat vegan. ,adding veggies/eating healthier food/adding fruit,"$50,001 to $70,000 ",neutral,very likely ,Single,Travel Agent,Almost everyday ,$10.01 to $20.00 ,veggie soup,No,I used to play softball ,likely,no,165
Female,Cereal,it is not at all important,420,espresso shown,"Candy, salty snacks, toast","Stress, sadness, boredom",,"Never, I really do not know my way around a kitchen",American,moderately health conscious ,healthy/balanced/moderated/,Soda,Late night snacking,worse,bigger quantity,1-2 times ,no,Everyday,Sales,Italian,Italian/French/greek,store bought ,Mcdonald’s fries,very likely ,Sophomore ,6,"equal portions of carbs, proteins and fruits/veges","Small portions, healthy foods",portion control,"higher than $100,000",very likely ,very likely ,In a relationship ,Real Estate,2-3 times a week ,$10.01 to $20.00 ,veggie soup,Yes,Ice hockey,very likely,no,128
Female,Cereal,it is moderately important ,420,espresso shown,"Mac in cheese, pizza, mozzarella sticks ","Stress, frustration, self-consciousness ",,A couple of times a week ,American,"protein, carbs, less fruits and vegetables, some sweets ",unhealthy/cheap/too much/random/,Soda,I snack less and eat smaller portions ,better,healthier,2-3 times ,yes part time ,Once a week,School Library Media Specialist ,Italian ,Italian/French/greek,store bought ,Mcdonald’s fries,likely ,Sophomore ,5,Salad with chicken and vegetables with a raspberry vinaigrette ,Much more vegetables and lean protein,adding veggies/eating healthier food/adding fruit,"higher than $100,000",very unlikely ,very likely ,Single,School Library Media Specialist ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No, None,neutral ,yes,200
Female,Cereal,it is moderately important ,315,creamy frapuccino,"Ice-cream, pizza, chocolate",Sadness and cravings,,"Whenever I can, but that is not very often  ",Mexican/Spanish,I eat at least 2 times a day at the universities dining places. I also sometimes cook myself and try to eat healthy a majority of the time. ,unhealthy/cheap/too much/random/,Orange Juice,I eat out more. ,worse,worse quality ,3-5 times ,no,Twice or three times per week ,Retired,Italian,Italian/French/greek,cooked at home ,Mcdonald’s fries,neutral ,Senior,8,"It includes a protein, vegetable, fruit, and grain. ",I hope to continue to eat healthy and cook more on my own. I want to incorporate more fruits and vegetables. ,adding veggies/eating healthier food/adding fruit,"$30,001 to $50,000 ",neutral,very likely ,In a relationship ,Deceased,2-3 times a week ,$20.01 to $30.00 ,veggie soup,Yes,Volleyball,neutral ,no,160
Male,Cereal,it is not at all important,980,espresso shown,"snacks, chips, ",boredom,,A couple of times a week ,nan,some healthy food and also some not so healthy.,healthy/balanced/moderated/,Soda,more healthy food,better,healthier,1-2 times ,yes part time ,Twice or three times per week ,nan,nan,none,cooked at home ,Mcdonald’s fries,neutral ,Junior,9,low calories plenty of veggies,more healthy food such as vegetables than bad food such as burgers.,adding veggies/eating healthier food/adding fruit,"$70,001 to $100,000 ",very unlikely ,neutral,Single,nan,Almost everyday ,more than $40.01 ,veggie soup,No,nan,neutral ,no,170
Female,Cereal,it is very important,315,espresso shown,"Chocolate, Ice cream, pizza","Sadness, happiness and boredom",,Every day ,American,I eat a lot of proteins and fruit and vegetables. I try to stay away from carbohydrates and sugary foods.,healthy/balanced/moderated/,Orange Juice,I had to change a lot. I keep track of calories and cut out most breads and wraps.,better,healthier,3-5 times ,no,Everyday,Mechanical Engineer ,Italian ,Italian/French/greek,both bought at store and cooked at home,Mcdonald’s fries,very likely ,Senior,10,A pice of meat such as chicken with a side of vegetables and possibly a salad,I wouldn't want or crave any sweets or breads.I would be satisfied with protein and fruit and veggies. ,less sugar,"higher than $100,000",very likely ,very likely ,In a relationship ,Fourth Grade Teacher ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,nan,neutral ,no,129
Female,Cereal,it is not at all important,420,creamy frapuccino,"ice cream, pizza, Chinese food ",Boredom and sadness,,A couple of times a week ,American,"My current diet would be considered a ""college diet"". I eat a lot of pizza and ramen noodles. ",unhealthy/cheap/too much/random/,Soda,They have gotten very bad. I eat a lot more food that I know I should not eat. ,worse,bigger quantity,2-3 times ,yes part time ,Twice or three times per week ,Teacher,Italian ,Italian/French/greek,cooked at home ,Mcdonald’s fries,likely ,Senior,9,"Blackened Chicken, broccoli, and milk",My ideal diet would be a healthy diet. I would eat meats and veggies. ,more protein,"higher than $100,000",unlikely,very likely ,In a relationship ,Accountant ,2-3 times a week ,$10.01 to $20.00 ,veggie soup,No,None,unlikely ,no,170
